ID,Namn,Risk,Sannolikhet (0-5),Konsekvens (0-5),Riskvärde (S x K) över 10 kräver åtgärd,Åtgärd
Alla,Generella Risker,Avsaknad av kompetens för att ge korrekt information I något av arbetspaketen,3,5,15,Uttryckligen skriva I rapport och dokumentation att besluten kring information fattats med den kompetens som finns tillgänglig och att den inte nödvändigtvis ska ses som best-practice
”,”,Arbetspaket går över tiden,3,4,12,Vara nogrann med planering för att se till att tiden per arbetspaket inte överskrids
”,”,Arbetspaketet introducerar nya problem som det inte finns tid att lösa,4,4,16,"Om detta händer ska det vara väl dokumenterat I lösningen som presenteras till företaget. Belys problemet, göm det inte, och motivera bristen på lösning med att tiden var begränsad."
”,”,Hittar inte tillräckligt med information under den utsatta tiden,3,4,12,"Planera för tillräckligt med tid för sammanställning I slutet av arbetspaketen, och I det läget använda den information som hittats."
”,”,Information som presenteras I rapporten är felaktig,2,5,10,Se till att korrekturläsa rapporten kontinuerligt för att se att till att fel hittas och åtgärdas. Alla gruppmedlemmar ska läsa alla anteckningar till alla arbetspaket
1.1.5,Minimikrav,Det har inte framgått ordentligt vad kunden behöver och minimikraven blir diffusa,3,5,15,"Vara extra noga med frågorna som vi ställer projektägaren, för att ta reda på kraven med så god exakthet som möjligt"
1.1.6,Säkerhet,Missar någon viktig del av den fysiska säkerheten som borde varit med,4,3,12,Bygga upp ett teoretiskt kontor under genomförandet av detta paket och successivt gå igenom så många eventuella säkerhetshål som möjligt
1.2.1,Funktioner/tjänster,Missar någon viktig funktion eller tjänst som är viktig för kunden,4,3,12,Se till att ha med tid I planering för genomgång av listan för att dubbel och trippel-kolla att alla viktiga funktioner är inkluderade
1.2.2.1,VPN,Ingen VPN-tjänst hittas som uppfyller kraven som kunden har ,2,4,8,Acceptera - Notera - Ingen åtgärd
1.2.2.5,App-kontroll,Säkerhetshål I en app dyker upp efter att arbetspaketet är genomfört,2,5,12,Notera att undersökningen gjorts under kort tid och att resultatet av dessa måste uppdateras kontinuerligt
1.3.1,VLAN,Undersökningen missar en viktig funktion som egentligen borde diskuterats,3,4,12,Notera I rapporten att undersökningen gjordes under kort tid och att det därav kan ha missats viktiga funktioner
1.3.2,Subnetting,Subnettingen är klar men det visar sig att nät krockar med varandra,2,5,10,Planera in extra timmar innan färdigställning av rapporten för att åtgärda detta
1.4.1,Lista test,Listan saknar test för funktioner som borde vara med,3,4,12,Gå igenom projektet från start till slut och notera alla funktioner som behöver testas. Notera också I rapporten att testet kan behöva modifieras beroende på val av utrustning av tjänster.
2.1.1,Design,Montern presenteras på ett sätt som gör att det inte framgår ordentligt vad arbetet går ut på,2,5,10,Var noga med att planera in ordentligt med tid för att designa en bra monter/affisch. Använda sig av någon form av peer-review för att se till att budskapen framgår.
2.2.1,Flyers,De flyers som delas ut presenteras på ett sätt som gör att det inte framgår ordentligt vad arbetet går ut på,2,5,10,Var noga med att planera in ordentligt med tid för att designa en bra flyer. Använda sig av någon form av peer-review för att se till att budskapen framgår.
3.1,Start av rapporten,Inte dokumenterar tillräckligt under arbetes gång för att kunna skriva en rapport,3,4,12,"Så fort man har läst eller hittat någon viktig information så måste man se till att skriva ner de, om det så bara är en länk till informationen. Detta för att det ska gå att skriva en så bra rapport som möjligt"
3.2,Slut av rapport,Rapporten blir dålig för att vi har missat saker att skriva om eller saknar röd tråd I rapporten,3,4,12,"Använda sig av någon form av peer-review, be andra människor läsa rapporten innan den lämnas in."
